claim_id,policy_id,vehicle_id,claim_date,incident_type,claim_amount,claim_status,fraud_flag
1,1097,1235,2024-09-28 02:33:45.000000,COLLISION,5386.34,CLOSED,False
2,598,3583,2024-06-01 14:16:06.000000,GLASS_DAMAGE,15850.78,REJECTED,False
3,3248,3561,2025-03-10 10:13:22.000000,FLOOD,9098.41,IN_REVIEW,False
4,2703,1366,2025-03-09 20:52:52.000000,VANDALISM,22152.92,CLOSED,True
5,2151,388,2025-03-20 07:34:59.000000,FLOOD,10838.29,OPEN,False
6,3395,2541,2026-02-05 09:52:08.000000,VANDALISM,13722.77,REJECTED,False
7,3246,1916,2024-07-18 14:23:48.000000,FIRE,18742.58,REJECTED,True
8,2919,3776,2024-08-14 14:21:45.000000,FIRE,16625.42,APPROVED,False
9,1334,3109,2024-05-21 23:26:28.000000,THEFT,18408.95,CLOSED,True
10,4334,312,2025-03-26 00:34:01.000000,VANDALISM,8908.73,OPEN,False
11,3417,2159,2024-09-16 06:19:59.000000,FIRE,524.43,REJECTED,False
12,3227,3647,2025-10-27 19:32:00.000000,GLASS_DAMAGE,15562.28,REJECTED,False
13,3992,3580,2024-07-17 21:29:01.000000,THEFT,20882.87,APPROVED,True
14,641,1239,2026-04-03 16:52:48.000000,FLOOD,3416.06,OPEN,False
15,4140,4050,2024-09-01 08:59:48.000000,GLASS_DAMAGE,11416.77,REJECTED,False
16,3920,921,2024-09-17 00:32:09.000000,VANDALISM,15797.77,OPEN,False
17,584,2450,2026-05-08 05:52:17.000000,THEFT,17800.74,OPEN,False
18,4359,3021,2026-03-31 09:12:46.000000,GLASS_DAMAGE,16548.74,IN_REVIEW,False
19,3106,3206,2024-08-29 11:48:25.000000,FLOOD,12270.6,CLOSED,False
20,4140,3344,2025-05-11 16:22:24.000000,VANDALISM,7707.49,OPEN,False
21,1126,3391,2025-02-09 02:06:22.000000,GLASS_DAMAGE,3633.41,OPEN,False
22,355,3202,2025-12-18 01:00:09.000000,COLLISION,17718.06,REJECTED,False
23,4612,687,2024-05-13 19:21:52.000000,COLLISION,4168.76,APPROVED,False
24,534,2745,2025-03-15 05:47:27.000000,FLOOD,8110.27,OPEN,False
25,1206,2273,2024-12-07 02:50:06.000000,COLLISION,21331.0,IN_REVIEW,True
26,2120,2678,2025-01-21 20:47:59.000000,FLOOD,17382.41,REJECTED,False
27,351,1749,2026-03-12 05:17:47.000000,FIRE,10514.46,OPEN,False
28,692,598,2025-09-01 01:02:42.000000,GLASS_DAMAGE,6000.92,CLOSED,False
29,1658,430,2025-06-12 23:18:29.000000,FIRE,22577.44,IN_REVIEW,True
30,3886,3641,2025-07-06 02:55:32.000000,FLOOD,11712.88,REJECTED,False
31,3216,3761,2024-09-23 01:37:53.000000,FIRE,12941.07,REJECTED,False
32,2839,2312,2026-05-05 22:17:45.000000,COLLISION,13328.67,CLOSED,False
33,1906,1769,2025-11-13 12:47:11.000000,COLLISION,3476.67,OPEN,False
34,181,3616,2024-10-11 23:59:50.000000,FLOOD,18289.68,CLOSED,True
35,2923,53,2026-03-26 05:27:30.000000,GLASS_DAMAGE,21681.95,APPROVED,True
36,1992,752,2025-06-09 16:15:03.000000,FIRE,20594.91,REJECTED,True
37,3307,2831,2025-04-16 11:26:26.000000,GLASS_DAMAGE,5958.44,APPROVED,False
38,2625,1461,2024-07-07 12:51:55.000000,FLOOD,15192.16,APPROVED,False
39,2923,2058,2025-03-21 01:47:12.000000,VANDALISM,22848.24,CLOSED,True
40,4510,3113,2025-09-13 22:57:49.000000,COLLISION,11733.72,IN_REVIEW,False
41,3855,3056,2024-05-12 14:49:17.000000,VANDALISM,14615.11,IN_REVIEW,False
42,1909,1985,2024-06-11 22:43:43.000000,VANDALISM,22905.2,REJECTED,True
43,4731,565,2024-10-29 01:13:47.000000,FLOOD,4464.8,IN_REVIEW,False
44,2334,3296,2025-12-01 22:13:34.000000,VANDALISM,8804.52,REJECTED,False
45,868,843,2025-11-30 14:48:25.000000,VANDALISM,17689.7,IN_REVIEW,False
46,3641,39,2024-06-11 18:02:51.000000,COLLISION,4167.02,REJECTED,False
47,2246,3934,2025-09-05 06:52:28.000000,FIRE,9239.8,OPEN,False
48,4391,2395,2025-06-08 17:54:10.000000,COLLISION,4266.27,REJECTED,False
49,3902,1491,2025-08-27 05:31:50.000000,FLOOD,22468.59,REJECTED,True
50,909,2945,2025-02-07 12:11:54.000000,COLLISION,12872.66,REJECTED,False
51,873,2744,2025-10-03 16:17:59.000000,THEFT,24039.27,OPEN,True
52,1236,2908,2026-02-25 11:39:46.000000,FIRE,4023.04,IN_REVIEW,False
53,3323,508,2024-12-22 17:02:39.000000,GLASS_DAMAGE,2569.5,OPEN,False
54,1771,3522,2024-12-29 18:38:18.000000,GLASS_DAMAGE,22948.24,APPROVED,True
55,4426,2767,2026-02-02 15:56:24.000000,VANDALISM,20275.38,OPEN,True
56,260,455,2026-04-08 03:57:08.000000,VANDALISM,11174.87,REJECTED,False
57,2971,357,2025-11-25 12:07:07.000000,GLASS_DAMAGE,6248.13,REJECTED,False
58,2948,2443,2025-09-24 06:34:33.000000,THEFT,10300.31,APPROVED,False
59,2966,3352,2024-08-16 00:26:54.000000,COLLISION,5198.31,IN_REVIEW,False
60,2931,37,2025-06-28 06:13:34.000000,COLLISION,24598.64,APPROVED,True
61,2633,1775,2026-03-01 22:18:48.000000,COLLISION,4986.17,IN_REVIEW,False
62,452,1587,2025-08-25 18:44:32.000000,GLASS_DAMAGE,412.16,OPEN,False
63,1446,2164,2026-01-11 01:08:18.000000,THEFT,8429.7,IN_REVIEW,False
64,490,3399,2025-10-16 10:42:21.000000,VANDALISM,3394.88,REJECTED,False
65,2915,151,2025-04-26 23:45:21.000000,FIRE,13668.55,APPROVED,False
66,255,648,2025-10-22 14:24:40.000000,THEFT,17883.46,IN_REVIEW,False
67,1655,494,2025-05-03 01:59:23.000000,COLLISION,9716.7,APPROVED,False
68,3598,3957,2025-10-08 16:32:36.000000,GLASS_DAMAGE,20476.27,REJECTED,True
69,3944,3188,2026-01-17 12:07:11.000000,FIRE,13781.73,APPROVED,False
70,388,3279,2025-08-11 01:41:53.000000,VANDALISM,2965.39,REJECTED,False
71,2764,2471,2025-03-30 21:37:58.000000,VANDALISM,10520.12,OPEN,False
72,62,1476,2026-05-10 11:58:08.000000,FLOOD,6117.48,OPEN,False
73,306,3826,2024-06-14 02:14:16.000000,FLOOD,9573.59,APPROVED,False
74,420,3160,2025-12-18 02:06:50.000000,THEFT,10492.64,CLOSED,False
75,3127,2245,2024-09-05 13:50:52.000000,FIRE,15822.28,OPEN,False
76,4743,2797,2026-01-26 00:10:47.000000,FLOOD,2044.1,OPEN,False
77,1235,48,2025-05-19 04:34:03.000000,GLASS_DAMAGE,18222.72,REJECTED,True
78,1898,241,2025-11-25 14:09:56.000000,FLOOD,21746.43,CLOSED,True
79,2043,2607,2024-09-21 00:19:00.000000,GLASS_DAMAGE,5547.04,REJECTED,False
80,4576,1,2025-07-21 20:51:15.000000,VANDALISM,7905.0,CLOSED,False
81,4464,4177,2025-09-18 08:55:24.000000,VANDALISM,21303.76,OPEN,True
82,2938,1184,2025-11-29 18:37:53.000000,FLOOD,11852.84,CLOSED,False
83,1926,3066,2024-11-19 07:08:35.000000,COLLISION,8030.16,OPEN,False
84,2875,1914,2026-04-06 12:41:32.000000,VANDALISM,4360.51,OPEN,False
85,3772,2214,2024-10-17 01:59:18.000000,VANDALISM,9242.67,IN_REVIEW,False
86,3270,1636,2026-02-04 02:52:34.000000,GLASS_DAMAGE,23261.19,REJECTED,True
87,835,2585,2025-12-13 15:31:11.000000,COLLISION,15523.24,OPEN,False
88,1467,1402,2025-10-03 02:12:23.000000,FIRE,15033.97,IN_REVIEW,False
89,3700,233,2024-12-10 23:02:18.000000,FIRE,15213.58,REJECTED,False
90,3314,1359,2025-02-27 14:27:30.000000,GLASS_DAMAGE,9028.36,REJECTED,False
91,2338,1937,2025-03-31 10:32:17.000000,VANDALISM,755.89,APPROVED,False
92,4397,655,2026-04-06 15:06:45.000000,VANDALISM,2238.04,IN_REVIEW,False
93,882,2528,2025-01-05 06:10:06.000000,VANDALISM,2187.59,OPEN,False
94,3094,3556,2024-11-26 23:49:14.000000,THEFT,7653.56,REJECTED,False
95,1328,3361,2024-06-19 06:14:16.000000,THEFT,24837.2,APPROVED,True
96,50,552,2024-09-12 10:33:26.000000,COLLISION,20561.8,REJECTED,True
97,3978,505,2024-05-17 14:11:13.000000,FLOOD,15141.17,CLOSED,False
98,792,900,2025-08-15 15:48:11.000000,THEFT,2588.06,APPROVED,False
99,4161,3898,2024-09-07 10:55:32.000000,VANDALISM,17439.1,REJECTED,False
100,2366,4042,2026-02-13 18:46:42.000000,COLLISION,14918.64,IN_REVIEW,False
101,3744,552,2026-04-27 14:36:49.000000,FIRE,22710.09,CLOSED,True
102,1036,2329,2025-04-09 17:51:22.000000,FIRE,19834.23,APPROVED,True
103,4342,4082,2024-06-10 11:12:53.000000,FLOOD,2611.07,OPEN,False
104,515,2466,2026-04-11 13:14:56.000000,FLOOD,12010.06,APPROVED,False
105,4564,2389,2025-03-15 00:47:41.000000,VANDALISM,23473.45,IN_REVIEW,True
106,4050,2410,2025-05-12 23:26:23.000000,VANDALISM,11077.29,OPEN,False
107,2394,3742,2024-05-15 17:28:42.000000,COLLISION,17966.81,REJECTED,False
108,4345,1292,2024-07-12 02:43:55.000000,VANDALISM,6371.08,IN_REVIEW,False
109,264,1946,2025-01-29 21:57:18.000000,GLASS_DAMAGE,11433.09,IN_REVIEW,False
110,414,272,2025-06-18 17:51:21.000000,GLASS_DAMAGE,21328.13,APPROVED,True
111,927,362,2024-06-26 10:29:50.000000,FIRE,9068.8,IN_REVIEW,False
112,938,1399,2025-06-24 04:26:50.000000,THEFT,15604.04,OPEN,False
113,4120,52,2026-03-21 14:13:44.000000,THEFT,9927.59,REJECTED,False
114,2680,1626,2025-09-05 17:40:17.000000,FLOOD,12131.95,IN_REVIEW,False
115,609,1305,2025-03-06 09:58:48.000000,COLLISION,20030.66,OPEN,True
116,2347,901,2025-06-05 19:49:50.000000,THEFT,16813.45,OPEN,False
117,1848,2944,2024-06-29 08:50:06.000000,GLASS_DAMAGE,10316.9,IN_REVIEW,False
118,1729,455,2025-01-20 06:19:00.000000,FLOOD,16728.28,OPEN,False
119,4608,1737,2024-07-08 21:29:51.000000,VANDALISM,8744.92,IN_REVIEW,False
120,4367,551,2026-03-22 06:16:29.000000,FLOOD,9602.22,IN_REVIEW,False
121,1950,2610,2024-12-13 22:17:24.000000,THEFT,6949.99,CLOSED,False
122,612,2465,2025-07-18 20:20:56.000000,THEFT,23629.68,REJECTED,True
123,4451,2262,2026-03-07 10:18:27.000000,FLOOD,4969.88,CLOSED,False
124,19,3808,2024-10-03 03:05:08.000000,THEFT,13423.26,CLOSED,False
125,2123,1197,2025-12-17 07:35:22.000000,FIRE,14155.05,REJECTED,False
126,920,3052,2026-02-02 21:52:50.000000,THEFT,4346.93,CLOSED,False
127,4052,446,2025-02-04 10:25:59.000000,THEFT,13955.42,APPROVED,False
128,339,758,2026-02-14 22:13:32.000000,THEFT,4241.5,OPEN,False
129,612,1568,2024-11-26 17:55:19.000000,FLOOD,5670.7,CLOSED,False
130,4225,247,2024-09-29 20:55:48.000000,VANDALISM,2834.05,OPEN,False
131,2139,2094,2024-09-05 01:31:44.000000,FLOOD,10619.32,CLOSED,False
132,2668,3426,2026-05-08 07:27:46.000000,VANDALISM,17922.46,APPROVED,False
133,1994,349,2024-12-04 13:23:01.000000,COLLISION,5606.87,APPROVED,False
134,4422,3706,2025-04-12 23:37:19.000000,GLASS_DAMAGE,7760.85,APPROVED,False
135,1155,2745,2024-08-24 18:07:48.000000,FIRE,13559.18,OPEN,False
136,468,1680,2025-10-15 08:18:41.000000,GLASS_DAMAGE,18636.47,IN_REVIEW,True
137,1806,3586,2026-03-01 13:48:16.000000,FLOOD,8368.4,APPROVED,False
