vehicle_id,customer_id,brand,model,year,plate
1,2343,Suzuki,Baleno,2020,VS-6551
2,4163,Nissan,Sentra,2025,GW-0948
3,3922,Hyundai,Accent,2024,RRLW-63
4,1238,Suzuki,Swift,2018,HXHV-09
5,3223,Kia,Rio,2018,GLFL-60
6,3564,Hyundai,Accent,2018,SXVF-41
7,2740,Hyundai,Tucson,2017,KWLB-53
8,3160,Mazda,Mazda3,2020,XLHD-41
9,3626,Nissan,Sentra,2022,WV-9843
10,2996,Chevrolet,Spark,2014,LS-1250
11,69,Kia,Rio,2017,CTLX-34
12,743,Kia,Rio,2017,JTJV-57
13,1185,Toyota,Corolla,2015,GCST-80
14,4222,Chevrolet,Spark,2015,PRYH-25
15,2619,Chevrolet,Spark,2021,RPLG-48
16,1625,Kia,Rio,2025,JZTX-95
17,3164,Suzuki,Swift,2017,JW-6494
18,1659,Nissan,Sentra,2021,PBHV-69
19,2662,Chevrolet,Tracker,2017,PCLW-98
20,2496,Suzuki,Baleno,2020,VRLZ-83
21,487,Suzuki,Swift,2019,BXRL-94
22,688,Kia,Sportage,2016,WJ-9681
23,1815,Kia,Sportage,2014,BX-7145
24,15,Kia,Rio,2012,PGPP-59
25,4292,Kia,Rio,2021,BT-1011
26,156,Kia,Sportage,2023,KHFG-10
27,3279,Chevrolet,Spark,2013,GJLT-89
28,1716,Mazda,CX-5,2020,GDRG-05
29,3468,Kia,Rio,2025,FCJX-39
30,1879,Chevrolet,Spark,2018,VL-2723
31,508,Kia,Sportage,2023,HZYT-67
32,1970,Hyundai,Tucson,2013,KRRF-56
33,1145,Kia,Rio,2014,WJWX-17
34,4293,Hyundai,Tucson,2022,VS-6059
35,1621,Toyota,Corolla,2023,ZGSL-93
36,649,Chevrolet,Spark,2025,HZCY-54
37,967,Kia,Sportage,2016,GYSH-66
38,2281,Toyota,RAV4,2017,XH-4049
39,1277,Chevrolet,Spark,2021,KRYH-62
40,1098,Chevrolet,Tracker,2023,HP-2253
41,1122,Suzuki,Baleno,2019,CD-1253
42,743,Mazda,Mazda3,2012,SP-8204
